epoch,train_loss,train_acc,val_loss,val_acc,modelo,experimento,learning_rate,batch_size,epochs_total,mejor_epoch,mejor_val_accuracy
1,1.5757250995755945,25.21172839506173,1.4121860199504428,37.12222222222222,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
2,1.3057179113603987,41.553703703703704,1.2809667322370741,43.33888888888889,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
3,1.1486920335757658,49.35432098765432,1.0805858307414584,52.71111111111111,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
4,1.0814254366376865,52.67901234567901,1.0586184594366286,53.327777777777776,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
5,1.051338867196497,54.272222222222226,1.0187335577276018,56.43888888888889,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
6,1.0168959865779996,56.24814814814815,0.9991179505983988,57.21666666666667,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
7,0.9991577597534131,57.21604938271605,0.9983213775687747,56.84444444444444,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
8,0.9880757736709883,57.76481481481481,1.0169329775704279,55.43888888888889,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
9,0.9720589717229208,58.46666666666667,1.0040123528904386,57.19444444444444,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
10,0.9649695697820412,58.76913580246914,0.9966422816117605,57.333333333333336,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
11,0.9616009413071398,59.08395061728395,0.9827428890599145,58.35,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
12,0.9476257558888609,59.80493827160494,0.9841349422931671,58.42777777777778,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
13,0.9350215091645343,60.43888888888889,0.980617450343238,57.644444444444446,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
14,0.9278007562055528,60.80555555555556,0.9628849625587463,59.138888888888886,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
15,0.9194701598875178,61.20740740740741,0.9805537892712487,58.544444444444444,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
16,0.9140393085449746,61.40493827160494,0.9789492852158017,58.96666666666667,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
17,0.900900127752772,62.04753086419753,0.968165765206019,58.81666666666667,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
18,0.8978082234004758,62.279012345679014,1.0072873598999448,57.63333333333333,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
19,0.8937098717539566,62.294444444444444,0.9857702652613322,58.07222222222222,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
20,0.887488416905673,62.64074074074074,0.9705142246352302,59.15,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
21,0.8858115380665041,62.71975308641975,0.9630314641528659,59.18888888888889,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
22,0.879147674302635,62.80185185185185,0.9860736694600847,58.35,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
23,0.8768847678442421,63.151234567901234,0.977169629600313,58.81111111111111,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
24,0.86630613061617,63.50679012345679,0.9766218596034579,59.1,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
25,0.8657475571212528,63.48395061728395,0.9824827412764231,58.955555555555556,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
26,0.8584987416207416,63.8604938271605,0.9969407220681509,57.46111111111111,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
27,0.8564011758228518,63.953086419753085,1.029814236693912,57.272222222222226,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
28,0.8546576668631356,63.95123456790123,0.9763820005787743,59.21111111111111,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
29,0.8488947288045343,64.44567901234568,0.9851983024014367,59.05555555555556,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
30,0.8445860593573852,64.54012345679013,1.021830376651552,57.105555555555554,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
31,0.8444812837636696,64.58024691358025,1.0169557829697926,58.333333333333336,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
32,0.8427256484451534,64.50432098765432,0.9993981420993805,58.483333333333334,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
33,0.8413821372595973,64.56604938271605,1.0269279148843553,58.46111111111111,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
34,0.8340005203612946,64.9641975308642,1.0153907504346635,58.8,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
35,0.8318146793347485,65.1753086419753,1.0281562308470409,57.916666666666664,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
36,0.8305527121765809,65.20617283950617,1.0134001208676233,59.12777777777778,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
37,0.8269901294378365,65.44506172839506,1.0197325580649905,58.772222222222226,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
38,0.8207567502867501,65.63827160493827,1.0295434991518657,58.2,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
39,0.8201861722664263,65.75925925925925,1.0447297394275665,58.516666666666666,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
40,0.8177601687563291,65.75246913580247,1.0327453513940175,58.77777777777778,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
41,0.8158851449594557,65.90679012345679,1.0687787135442097,56.672222222222224,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
42,0.8171683178757722,65.82530864197531,1.04281289378802,57.96666666666667,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
43,0.8122952685416119,66.09814814814816,1.0522660944196913,58.68888888888889,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
44,0.8104472553954934,66.3037037037037,1.0644911328951518,57.87222222222222,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
45,0.8096288630047684,66.21481481481482,1.0559930205345154,58.55,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
46,0.8064524486379804,66.5320987654321,1.0667894615067377,58.66111111111111,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
47,0.8059155821050488,66.52283950617284,1.0924636258019342,57.8,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
48,0.8033060229049539,66.53456790123457,1.0814215342203777,58.05555555555556,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
49,0.8071890488360662,66.48950617283951,1.0810896091991,58.12777777777778,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
50,0.79767869740912,66.87222222222222,1.074049837059445,58.06666666666667,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
51,0.7980527585407473,66.81851851851852,1.1218961874643962,56.266666666666666,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
52,0.800866555117961,66.62345679012346,1.0811616116099887,58.18888888888889,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
53,0.7997188755551224,66.86666666666666,1.0798509120941162,58.272222222222226,RedNeuronalIntermedia,exp_1,0.001,1024,100,28,59.21111111111111
