epoch,train_loss,train_acc,val_loss,val_acc,modelo,experimento,learning_rate,batch_size,epochs_total,mejor_epoch,mejor_val_accuracy
1,1.6062528222799302,21.578395061728394,1.6050192250145807,22.616666666666667,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
2,1.5610855638980865,26.632098765432097,1.460851960712009,32.88333333333333,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
3,1.404763588309288,35.623456790123456,1.3366293907165527,40.59444444444444,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
4,1.3044897422194481,41.321604938271605,1.2411194774839613,44.82222222222222,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
5,1.2149295330047607,45.976543209876546,1.1856397655275133,46.644444444444446,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
6,1.1703632175922394,48.33888888888889,1.2223547961976793,45.522222222222226,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
7,1.1374689266085625,49.7320987654321,1.130027797487047,50.394444444444446,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
8,1.1026665061712264,51.675308641975306,1.0807034571965535,52.833333333333336,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
9,1.0799633234739303,52.94506172839506,1.071358773443434,53.266666666666666,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
10,1.0640639558434486,53.62283950617284,1.0894705454508464,52.422222222222224,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
11,1.0492011897265912,54.42469135802469,1.0347890655199687,55.43333333333333,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
12,1.0372526809573173,55.01358024691358,1.0366808043585882,55.388888888888886,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
13,1.023653867840767,55.675925925925924,1.0463041994306777,54.63333333333333,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
14,1.0171420976519585,56.203086419753085,1.019092983669705,56.422222222222224,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
15,1.0038412481546402,56.91111111111111,1.0127926468849182,56.49444444444445,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
16,0.9970588505268096,57.101851851851855,1.047971208890279,55.28888888888889,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
17,0.9989998660981655,57.13456790123457,1.0105847981241014,56.577777777777776,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
18,0.986946078389883,57.788271604938274,1.0015743043687608,57.22222222222222,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
19,0.9768147252500057,58.4141975308642,0.9960081511073642,57.58888888888889,RedNeuronalAvanzada,exp_2,0.0005,2048,400,54,59.172222222222224
