epoch,train_loss,train_acc,val_loss,val_acc,modelo,experimento,learning_rate,batch_size,epochs_total,mejor_epoch,mejor_val_accuracy
1,1.6067451000213624,21.80925925925926,1.5960808859931097,23.97222222222222,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
2,1.574740083515644,25.985185185185184,1.5172442727618747,29.833333333333332,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
3,1.4352903425693513,34.483333333333334,1.350966943634881,38.94444444444444,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
4,1.3074838072061539,41.425308641975306,1.2402851978937786,43.4,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
5,1.225884672999382,45.46913580246913,1.1862452427546184,45.922222222222224,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
6,1.1652935042977333,48.745061728395065,1.1198601855172052,51.02777777777778,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
7,1.1282154813408851,50.43395061728395,1.0928824610180325,52.327777777777776,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
8,1.1013150796294213,51.82098765432099,1.1365832620196872,49.833333333333336,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
9,1.0780354678630828,52.8716049382716,1.068599608209398,53.455555555555556,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
10,1.0570680648088455,53.91358024691358,1.049659291903178,54.28888888888889,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
11,1.0395980462431909,54.95123456790123,1.0400913291507297,54.922222222222224,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
12,1.0308851890265942,55.42098765432099,1.101484974225362,52.077777777777776,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
13,1.025687638670206,55.648148148148145,1.0276899801360235,56.27777777777778,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
14,1.0148623138666153,56.25987654320988,1.0416465335422092,54.827777777777776,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
15,1.001510401070118,57.046913580246915,1.0231902533107333,55.75555555555555,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
16,1.000140455365181,57.00925925925926,1.0046186976962619,57.266666666666666,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
17,0.9876874558627605,57.74320987654321,0.9947507580121359,57.68888888888889,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
18,0.9805922351777554,58.01728395061728,1.0165213412708707,56.67777777777778,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
19,0.976356963813305,58.28086419753087,1.026999341117011,56.327777777777776,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
20,0.9753892876207828,58.45740740740741,1.0019548469119601,57.24444444444445,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
21,0.966005415469408,58.83024691358025,1.0000317229164972,57.294444444444444,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
22,0.9604117728769779,59.00308641975309,1.0003353158632915,57.26111111111111,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
23,0.9552090547978878,59.446296296296296,0.9886764287948608,57.46666666666667,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
24,0.9517915472388268,59.56666666666667,0.9794911808437772,58.272222222222226,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
25,0.9434475570917129,59.8783950617284,0.9916406008932326,58.03333333333333,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
26,0.9424968585371971,60.04074074074074,0.9798021051618788,58.62222222222222,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
27,0.9330062225461007,60.42716049382716,0.9723285767767165,58.794444444444444,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
28,0.9295691348612308,60.66975308641975,0.9756909608840942,58.50555555555555,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
29,0.9279883839190006,60.80185185185185,1.0190205971399944,55.81111111111111,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
30,0.9279526166617871,60.67160493827161,0.9792357484499613,58.888888888888886,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
31,0.9230413235723972,60.9358024691358,0.9737613333596123,58.888888888888886,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
32,0.9152190424501896,61.409876543209876,0.9729179872406853,58.93888888888889,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
33,0.9139743819832802,61.50925925925926,0.9792120920287238,58.50555555555555,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
34,0.9087186612188816,61.64506172839506,0.9736426605118645,58.92777777777778,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
35,0.9060710184276104,61.92716049382716,0.9758539663420783,58.17777777777778,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
36,0.9054187044501305,61.727160493827164,0.9765297902954949,58.894444444444446,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
37,0.9011284410953522,62.04320987654321,0.9727126227484809,58.4,RedNeuronalIntermedia,exp_2,0.0005,2048,400,57,59.46666666666667
