modelo,experimento,learning_rate,epochs_total,batch_size,mejor_epoch,mejor_val_accuracy,epoca,train_loss,train_accuracy,val_loss,val_accuracy,es_mejor_modelo
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,1,19.94856850348021,19.944135802469138,1.6094402434690944,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,2,1.6229775274427314,19.988271604938273,1.6094459666396088,20.010185185185186,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,3,1.6128538752857007,19.96625514403292,1.609457568177637,19.932407407407407,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,4,1.61213521831914,19.91574074074074,1.6094572262943916,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,5,1.6120464212016055,19.992901234567903,1.6094578819454841,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,6,1.6099668234273008,19.95401234567901,1.6094585027334825,20.010185185185186,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,7,1.6146364232113486,19.961111111111112,1.6094555989751276,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,8,1.6110598083546288,20.009876543209877,1.609461285033316,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,9,1.6094597480171604,19.947222222222223,1.6094456618686892,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,10,1.621611236773039,20.03076131687243,1.6094572094251525,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,11,1.6149324850032205,19.99207818930041,1.609449563161382,20.05648148148148,True
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,12,1.6096955764921088,20.023045267489714,1.6094418145575613,20.010185185185186,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,13,1.6111319312296415,20.03508230452675,1.6094739909441966,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,14,1.6099243477771157,19.988168724279834,1.609445773205667,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,15,1.6094538299660934,19.92880658436214,1.6094512062252693,20.010185185185186,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,16,1.6124974876955935,19.983641975308643,1.6094602650066592,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,17,1.609455967827847,20.005349794238683,1.6094473420449023,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,18,1.609833676564066,19.984979423868314,1.6094403053229709,20.05648148148148,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,19,1.6094527112810235,20.026440329218108,1.6094780373123456,19.932407407407407,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,20,1.6096842985404165,20.059979423868313,1.6094533699863363,20.010185185185186,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,21,1.610167652054837,20.024382716049384,1.609443134856674,20.05648148148148,False
