modelo,experimento,learning_rate,epochs_total,batch_size,mejor_epoch,mejor_val_accuracy,epoca,train_loss,train_accuracy,val_loss,val_accuracy,es_mejor_modelo
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,1,1.2927270442561098,41.99362139917695,1.187118001703946,47.68518518518518,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,2,1.1738967245503475,48.370370370370374,1.1566485672626856,49.33888888888889,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,3,1.1458542498789335,49.733127572016464,1.1488189562311713,49.75648148148148,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,4,1.1295675240064922,50.491975308641976,1.1424406474491335,49.94074074074074,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,5,1.117194121511359,51.07345679012346,1.1412638639504056,50.13333333333333,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,6,1.1072200716169256,51.53343621399177,1.1392935626911667,50.19537037037037,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,7,1.0974350774915596,52.02788065843622,1.1426615152718886,50.075,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,8,1.0888210409565975,52.47345679012346,1.144367072942122,50.20185185185185,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,9,1.0799508725969416,52.876234567901236,1.1428164547344424,50.32314814814815,True
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,10,1.0714455991042289,53.28251028806584,1.1483873095152513,50.18518518518518,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,11,1.0629269483214931,53.71275720164609,1.15198445432591,50.18055555555556,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,12,1.0542306859869706,54.13179012345679,1.1542003008554567,50.16759259259259,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,13,1.0448140453037462,54.57798353909465,1.1556291017892226,50.13333333333333,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,14,1.0358880036128195,54.934567901234566,1.1634994722762197,50.068518518518516,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,15,1.0266887411318326,55.39927983539095,1.1688408075638537,49.898148148148145,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,16,1.0171908628313164,55.901234567901234,1.186624952082364,49.705555555555556,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,17,1.0079957452573274,56.26913580246914,1.1923499377268665,49.861111111111114,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,18,0.998629629611969,56.71553497942387,1.203211950805952,49.77777777777778,False
RedNeuronalAvanzada,exp_1,0.001,100,1024,9,50.32314814814815,19,0.9890299761922736,57.175925925925924,1.2151798650903523,49.675,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,1,1.387828200490851,36.93518518518518,1.251867136865292,44.68981481481482,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,2,1.2314312249735782,45.65462962962963,1.1981316175100938,47.196296296296296,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,3,1.1890419001328318,47.69804526748971,1.1736906609445248,48.349074074074075,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,4,1.1661387812463861,48.82242798353909,1.1625896759752958,48.910185185185185,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,5,1.1510402654346668,49.54300411522634,1.1542502506723944,49.342592592592595,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,6,1.1390528169431184,50.14598765432099,1.1496071253182754,49.6037037037037,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,7,1.1292770998101485,50.59238683127572,1.1432701371750742,49.88333333333333,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,8,1.121319637047617,50.92448559670782,1.1446333853703625,49.80925925925926,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,9,1.113882690228914,51.269855967078186,1.1402430466885836,50.16388888888889,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,10,1.1078406113072445,51.583333333333336,1.1389451206855055,50.07314814814815,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,11,1.1023557193655718,51.84022633744856,1.1395103841457728,50.18240740740741,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,12,1.0971065179925217,52.04917695473251,1.1382562709304522,50.257407407407406,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,13,1.0921538809726112,52.297222222222224,1.140889529911977,50.181481481481484,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,14,1.08758958515368,52.5440329218107,1.138332133023244,50.24074074074074,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,15,1.0827589855696025,52.827777777777776,1.1412331405675635,50.11018518518519,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,16,1.078553833208586,52.988991769547326,1.1401184819779306,50.35,True
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,17,1.0736830410204437,53.21954732510288,1.1415303945541382,50.26851851851852,False
RedNeuronalAvanzada,exp_2,0.0005,500,2048,16,50.35,18,1.06968201561978,53.42314814814815,1.1428710874521508,50.300925925925924,False
